base_error,width,power,trial,reson_factor,eff_error,mem_stab,cycle_score,T_int,I,success,fail_reason
0.06,0.05,4.0,2779,0.3727557929478904,0.06478949901605503,0.8478008348628921,1.5314049423635878,0.3730859887187183,3.3315348046613575,0,Genetic
0.06,0.05,4.0,2780,0.2952094535322665,0.0655238008847135,0.8420742023293988,1.5423767150260073,0.3896595787162662,3.206972636575888,0,Genetic
0.06,0.05,4.0,2781,1.1623195676434622e-12,0.066,0.8341923821048552,1.524904106385142,0.38032634639655577,3.2438659849835987,0,Genetic
0.06,0.05,4.0,2782,7.288689588205383e-11,0.066,0.9286449071860107,1.6787493637281454,0.37617025738043186,3.6994739514798423,0,Genetic
0.06,0.05,4.0,2783,5.5857974395385515e-12,0.066,0.8351499816892598,1.5255347802489434,0.37995847123457416,3.246378648610732,0,Genetic
0.06,0.05,4.0,2784,1.8766841417143326e-14,0.066,0.8483765224180987,1.5401987524269174,0.39125947978106207,3.1859957065768,0,Genetic
0.06,0.05,4.0,2785,0.0005988889355737774,0.06599999999999194,0.8227159488193634,1.4852146694909116,0.3840776720732951,3.0970580786547415,0,Genetic
0.06,0.05,4.0,2786,0.7861752990434715,0.042047816015017475,0.862772953072557,1.5900239819408868,0.3935153080512642,3.2951610120160937,1,None
0.06,0.05,4.0,2787,0.9858300639589064,0.006778994890202906,0.9289349987792193,1.7037210839802814,0.37551401935731377,3.7458187770812716,1,None
0.06,0.05,4.0,2788,0.0005874060922590607,0.06599999999999254,0.8718036428250145,1.59996354738013,0.36964116023654026,3.5355899665972648,0,Genetic
0.06,0.05,4.0,2789,3.464900372869688e-11,0.066,0.8475557529333408,1.5307122377764952,0.3813979745905038,3.2512766125318078,0,Genetic
0.06,0.05,4.0,2790,0.8299917615597697,0.036244814142172566,0.8928086944401814,1.6314162191457013,0.39317331849962256,3.408671396421656,1,None
0.06,0.05,4.0,2791,0.39904531492094575,0.06441014906797018,0.8564494471921266,1.5528459370226058,0.3827799639831635,3.3075756507656147,0,Genetic
0.06,0.05,4.0,2792,0.8348591339018817,0.03554066953195199,0.8521073607180555,1.5374345532222033,0.3715110572911467,3.3489065333447448,1,None
0.06,0.05,4.0,2793,2.287283471202338e-10,0.066,0.8732240002089632,1.579543999026151,0.3749991511575927,3.4317458246593295,0,Genetic
